zpid,longitude,latitude,bathrooms,bedrooms,address,price,zipcode
62014772,-87.62531,41.866486,2.0,2.0,1235 S Wabash Ave FLOOR 4,3100.0,60605
445923350,-87.617966,41.89286,1.0,1.0,600 N McClurg Ct APT 1412,2580.0,60611
2129888898,-87.64779,41.886234,2.0,3.0,216 N Halsted St UNIT 3,4200.0,60661
101428620,-87.64812,41.879906,1.0,1.0,123 S Green St APT 709B,2800.0,60607
2056229288,-87.62665,41.889492,1.0,1.0,801-07 N Wabash Ave E #42-50,2295.0,60611
118417221,-87.63986,41.89528,6.0,5.0,433 W Superior St,16500.0,60654
2082638867,-87.628876,41.873043,1.0,1.0,711 S Dearborn St UNIT 508,2500.0,60605
87722950,-87.63523,41.894566,1.0,1.0,225 W Huron St APT 503,2250.0,60654
2057085613,-87.634514,41.89514,2.0,2.0,708 N Wells St #906,4347.0,60654
444702447,-87.62975,41.895775,1.0,1.0,737 N Dearborn St #1305,2020.0,60654
89931866,-87.64724,41.88708,1.0,1.0,740 W Fulton St APT 511,2900.0,60661
60268518,-87.6283,41.89377,2.0,3.0,630 N State St APT 1101,3495.0,60654
63700403,-87.63016,41.89267,2.0,2.0,600 N Dearborn St APT 1804,3850.0,60654
58366039,-87.64152,41.889633,3.0,3.0,428 N Clinton St,7500.0,60654
444371806,-87.63018,41.89003,1.0,0.0,58 W Hubbard St #1,2000.0,60654
443019565,-87.626625,41.89511,1.0,1.0,30 E Huron St #1400,2495.0,60611
60270672,-87.62996,41.861107,2.0,2.0,61 W 15th St APT 401,3200.0,60605
444153128,-87.62244,41.867317,1.0,0.0,1211 S Indiana Ave #9,2223.0,60605
402312343,-87.624176,41.88489,1.0,1.0,151 N Michigan Ave #1B-1BA,2045.0,60601
3872261,-87.62809,41.870872,1.0,1.0,899 S Plymouth Ct APT 2105,2195.0,60605
80822959,-87.650314,41.88285,1.0,1.0,909 W Washington Blvd APT 901,2650.0,60607
2082227985,-87.629776,41.89644,1.0,0.0,785 N Dearborn St,1949.0,60654
443950473,-87.62675,41.879715,1.0,1.0,26 E Adams St #902,1995.0,60603
2055054715,-87.64816,41.881443,1.0,0.0,815 W Madison St,2280.0,60607
443949603,-87.63046,41.872257,1.0,1.0,75 W Polk St #419,2057.0,60605
443134876,-87.63432,41.8866,1.0,1.0,205 W Wacker Dr #3704,2512.0,60606
2056477350,-87.62695,41.87037,1.0,1.0,11 E 9th St #1509,2552.0,60605
58365629,-87.64911,41.89433,2.0,2.0,680 N Green St APT 201,3000.0,60642
60269730,-87.62441,41.877884,3.0,2.0,330 S Michigan Ave APT 1906,4500.0,60604
3873637,-87.648026,41.876953,2.0,2.0,812 W Van Buren St APT 5B,3700.0,60607
2096581070,-87.63931,41.89011,1.0,0.0,500 N Kingsbury St #1,2110.0,60654
58366080,-87.641014,41.889584,3.0,3.0,407 N Clinton St,6900.0,60654
87699614,-87.6269,41.861626,2.0,2.0,1503 S State St APT 306,3300.0,60605
54538127,-87.63583,41.891804,1.0,1.0,300 W Grand Ave APT 201,2300.0,60654
87704201,-87.64309,41.894608,2.0,2.0,700 N Larrabee St APT 1310,3400.0,60654
58366707,-87.63613,41.889545,2.0,2.0,333 W Hubbard St APT 603,3450.0,60654
58367058,-87.6392,41.88509,1.0,1.0,165 N Canal St APT 1301,2750.0,60606
60270068,-87.64175,41.87627,2.0,2.0,417 S Jefferson St APT 309B,3300.0,60607
113951096,-87.625175,41.860516,2.0,3.0,50 E 16th St UNIT 1403,5900.0,60616
87723897,-87.629715,41.872677,1.0,0.0,780 S Federal St APT 1103,1850.0,60605
2059679148,-87.63635,41.891792,2.0,2.0,318 W Grand Ave SUITE 304,3575.0,60654
2073834274,-87.62409,41.865032,1.0,1.0,1347 S Michigan Ave #1301,2570.0,60605
441676833,-87.64148,41.896557,1.0,1.0,469 W Chicago Ave #1509,2540.0,60654
2055879349,-87.62926,41.892063,2.0,2.0,6 W Grand Ave #2007,3725.0,60654
441675904,-87.62295,41.892,1.0,1.0,164 E Grand Ave #1715,3090.0,60611
2055500641,-87.63195,41.87435,1.0,1.0,600 S La Salle St #2102,2488.0,60605
2058726922,-87.62947,41.884365,1.0,1.0,145 N Dearborn St #720,2590.0,60602
2059935629,-87.642456,41.888638,1.0,1.0,365 N Jefferson St #E904,2505.0,60661
70467266,-87.641594,41.89292,2.0,2.0,600 N Kingsbury St APT 1609,4200.0,60654
60269997,-87.64118,41.876286,1.0,1.0,420 S Clinton St APT 317A,2450.0,60607
89940067,-87.645966,41.861023,3.0,3.0,751 W 15th St,4000.0,60607
87695815,-87.62976,41.87283,2.0,3.0,740 S Federal St APT 910,2900.0,60605
70474201,-87.64786,41.860725,3.0,2.0,833 W 15th Pl UNIT 608,3250.0,60608
